"EV_Brand","avg_range","avg_price"
"MINI   COUNTRYMAN",12,36865.8227848101
"PORSCHE   918",12,845000
"BMW   330E",14,44745.4054054054
"BMW   740E",14,90385.9375
"PORSCHE   CAYENNE",14,81100
"PORSCHE   PANAMERA",14,184400
"BMW   530E",14.9081272084806,54348.7632508834
"SUBARU   CROSSTREK",17,34995
"VOLVO   XC60",17,52900
"VOLVO   XC90",19,64950
"CADILLAC   CT6",31,75095
"CHRYSLER   PACIFICA",32,39995
"FISKER   KARMA",33,102000
"KIA   SOUL",93,31950
"KIA   SOUL EV",99.4038461538462,32854.8076923077
"WHEEGO ELECTRIC CARS   WHEEGO",100,32995
"TESLA   MODEL S",213.020325203252,69019.2411924119
"TESLA   ROADSTER",234.36170212766,105553.191489362
